,SMILES
153,[H]N1C(=O)C2([H])N(C(=O)C3([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C4([H])N(C(=O)C5([H])N(C(=O)C([H])(N([H])C(=O)C([H])(N([H])C(=O)C1([H])C([H])([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C([H])([H])C5([H])[H])C([H])([H])C([H])([H])C4([H])[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])C2([H])[H]
154,c1ccc2c(c1)cnc1ccccc21
155,C[C@@]1(O)C[C@](O)(C([C@@H](C)/C=C/C(C)(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)C([C@@H]3OC(C(C)C)=O)=C)=O)[C@]3([H])[C@H]1OC(C)=O
156,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OCCC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H]1O
157,O=C1OC(C)(C)[C@@H](CC2=CC=CC=C2)N1C(C(C)(C)[C@H](O)CCCCC)=O
158,COC(=O)CNC(=O)C1=CC=CC=C1
159,CC(C)CC1NC(=O)C(C)NC(=O)C(CC(C)C)OC(=O)CCCNC1=O
160,CCN(CC)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O
161,CCC(C)C(N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)NCCCCC(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CCC(O)=O)NC(C)=O)C(=O)NC(CC(O)=O)C(=O)NC(CCC(N)=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NCC(N)=O
162,CC1(C)CCCC2(C1CC(=O)\C3=C\C(C)(CCC23O)C=C)C(O)=O
163,O(C(CO)6[H])C(OC(C([H])(O)7)(C(C(OC7(CO)[H])([H])O)([H])O)[H])([H])C(C([H])(C6([H])O)OC([H])(O1)C(C(OC(C([H])(O)2)(OC([H])(CO)C([H])(O)C(OC([H])(C3([H])O)OC(CO)([H])C([H])(O)C3([H])OC(C([H])(O)4)(OC([H])(C([H])(O)C4([H])OC(O5)([H])C(C([H])(O)C(C([H])5CO)([H])O)([H])O)CO)[H])2[H])[H])(C(C1(CO)[H])([H])O)[H])([H])O)([H])O
164,C\C=C(C)/C(=O)O[C@H]1[C@@H]2[C@H](C)C(=O)O[C@@H]2C[C@@H](C)[C@@H]3\C=C/C(=O)[C@@]13C
165,COC1=C(O)C=CC(=C1)C2=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)C(=O)C5=C(O2)C=C(O)C=C5O
166,C/C=C/C(=O)OCC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)O)OC)O)O)O)O
167,CC(=O)OC1CC(C)(CC2C/3=C/C(=O)C4C5(C)CCC(OC6OC(C(O)C(O)C6OC7OC(C(O)C(O)C7O)C(O)=O)C(O)=O)C(C)(C)C5CCC4(C)C3(C)CCC12C)C(O)=O
168,COP(=O)(OC)OC=C(Cl)Cl
169,CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C
170,CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)/C=C/C2(O)C3(C)COC2(C)CC(=O)C3
171,CO/C(=C\1/[C@H](C(=C(C)N=C1C)C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)c4cccc(c4)[N+](=O)[O-])/O
172,CC(=O)OP(=O)(O)O
173,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C
174,CCCCC1=CN=C(C=C1)C(=O)O
175,CC(N1)=NC(CC1)C(O)=O
176,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(O)=O
177,[H]O[C@@]([H])([C@]([H])(N([H])C(=O)[C@]([H])(N([H])C(=O)[C@@]1([H])N(C(=O)C(\[H])=C(/[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])C(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@@]([H])(C(=O)N([H])C(C(=O)N([H])C(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
178,NC1=NC=CC=C1
179,OC(=O)CCCC1=CC=CC=C1
180,O=C1C2=C(O)C3=C(O[C@H]4[C@@]3([H])O[C@H](CO)[C@@H](O)[C@@H]4O)C=C2OC(C5=CC=C(O)C=C5)=C1
181,Cn1c2c(c(=O)n(c1=O)C)[nH]cn2
182,COc1ccc2C(OC(=O)c2c1OC)C3N(C)CCc4cc5OCOc5c(OC)c34.Cl
183,OC1=C(C[C@@H](OC(C=C2C)=O)[C@@H]2O3)C3=CC(O)=C1
184,COc1ccc2c(c1)[nH]c3c(C)nccc23.Cl
185,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O
